# name                          ?       FEC   mfec  mfecchannel hubaddress portadd   rocid     FED   channel     roc#
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC3 A       1        8        1       14        0        3         40        9        3
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC4 A       1        8        1       14        1        4         40        9        4
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC5 A       1        8        1       14        1        5         40        9        5
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC6 A       1        8        1       14        1        6         40        9        6
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC7 A       1        8        1       14        1        7         40        9        7
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC8 B       1        8        1       14        2        8         40       10        0
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC9 B       1        8        1       14        2        9         40       10        1
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC10 B      1        8        1       14        2       10         40       10        2
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC11 B      1        8        1       14        2       11         40       10        3
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC12 B      1        8        1       14        3       12         40       10        4
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC13 B      1        8        1       14        3       13         40       10        5
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC14 B      1        8        1       14        3       14         40       10        6
Pilt_BmO_D3_BLD10_PNL2_PLQ1_ROC15 B      1        8        1       14        3       15         40       10        7

Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC0 A       1        7        1        7        0        0         40        25        0
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC1 A       1        7        1        7        0        1         40        25        1
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC2 A       1        7        1        7        0        2         40        25        2
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC3 A       1        7        1        7        0        3         40        25        3
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC4 A       1        7        1        7        1        4         40        25        4
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC5 A       1        7        1        7        1        5         40        25        5
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC6 A       1        7        1        7        1        6         40        25        6
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC7 A       1        7        1        7        1        7         40        25        7
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC8 B       1        7        1        7        2        8         40        26        0
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC9 B       1        7        1        7        2        9         40        26        1
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC10 B      1        7        1        7        2       10         40        26        2
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC11 B      1        7        1        7        2       11         40        26        3
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC12 B      1        7        1        7        3       12         40        26        4
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC13 B      1        7        1        7        3       13         40        26        5
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC14 B      1        7        1        7        3       14         40        26        6
Pilt_BmI_D3_BLD2_PNL1_PLQ1_ROC15 B      1        7        1        7        3       15         40        26        7

Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC0 A       1        7        1        6        0        0         40        27        0
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC1 A       1        7        1        6        0        1         40        27        1
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC2 A       1        7        1        6        0        2         40        27        2
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC3 A       1        7        1        6        0        3         40        27        3
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC4 A       1        7        1        6        1        4         40        27        4
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC5 A       1        7        1        6        1        5         40        27        5
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC6 A       1        7        1        6        1        6         40        27        6
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC7 A       1        7        1        6        1        7         40        27        7
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC8 B       1        7        1        6        2        8         40        28        0
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC9 B       1        7        1        6        2        9         40        28        1
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC10 B      1        7        1        6        2       10         40        28        2
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC11 B      1        7        1        6        2       11         40        28        3
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC12 B      1        7        1        6        3       12         40        28        4
Pilt_BmI_D3_BLD2_PNL2_PLQ1_ROC13 B      1        7        1        6        3       13         40        28        5
