# Portcard              Module                     AOH channel
Pilt_BmO_D3_PRT1        Pilt_BmO_D3_BLD11_PNL1      1
Pilt_BmO_D3_PRT1        Pilt_BmO_D3_BLD11_PNL2      2
Pilt_BmO_D3_PRT1        Pilt_BmO_D3_BLD10_PNL1      3
Pilt_BmO_D3_PRT1        Pilt_BmO_D3_BLD10_PNL2      4
Pilt_BmI_D3_PRT1        Pilt_BmI_D3_BLD2_PNL1       1
Pilt_BmI_D3_PRT1        Pilt_BmI_D3_BLD2_PNL2       2
Pilt_BmI_D3_PRT1        Pilt_BmI_D3_BLD3_PNL1       3
Pilt_BmI_D3_PRT1        Pilt_BmI_D3_BLD3_PNL2       4
